timestamp,price
1639297442, 49264.44333278608
1639297142, 49298.71544242451
1639296842, 49350.80526778521
1639296542, 49309.86005998698
1639296242, 49338.793062180965
1639295942, 49293.09432778869
1639295642, 49293.49554871475
1639295342, 49327.48238820168
1639295042, 49294.85681294982
1639294742, 49338.71932418808
1639294442, 49300.84878044947
1639294142, 49322.65277894151
1639293842, 49196.84973149297
1639293542, 49137.52894797041
1639293242, 49131.45466338055
1639292942, 49155.94679885202
1639292642, 49196.726434852404
1639292342, 49220.469289913664
1639292042, 49171.875187940204
1639291742, 49168.07371987682
1639291442, 49165.146961561935
1639291142, 49069.86893231076
1639290842, 49085.347930370684
1639290542, 49062.57964399664
1639290242, 49180.55531923351
1639289942, 49143.150573309846
1639289642, 49136.94658576509
1639289342, 49082.71904512592
1639289042, 49058.09201169651
